Id,Memo,MaxStackCount,Duration,EffectTag,BuffEffects,ShowBuffIcon,ShowActiveText,Triggers,InactiveInLounge,IsDespairEffect
int,string,int,float,EStatusEffectTag,BuffEffect[],bool,bool,BuffTriggerBase[],bool,bool
1,아무것도 없는 더미,1,1,"None","[]",False,False,,False,False
101,기사 패시브 헤이스트,1,-1,"None","[{""$type"":""GameCommon.Data.StatEffect, De.Base"",""statType"":""MoveSpeed"",""statValue"":""3.000"",""showEffect"":true,""UseStatValue"":false,""StatType"":""None"",""StatPercent"":""0.000"",""EffectType"":""Stat""}]",False,False,,False,False
102,hp 40% 이하 버프,1,-1,"None","[{""$type"":""GameCommon.Data.HpDamageTakenAmplifierEffect, De.Base"",""Percent"":""-15.000"",""ShowEffect"":false,""SkillTags"":[],""UseStatValue"":false,""StatType"":""None"",""StatPercent"":""0.000"",""EffectType"":""HpDamageTakenAmplifier""}]",False,False,"[{""$type"":""GameCommon.Data.FloatValueCompareBuffTrigger, De.Base"",""TriggerType"":""HpPercent"",""CompareType"":""LessEqual"",""CompareValue"":""40.000""}]",False,False
103,hp 18% 이하 버프,1,-1,"None","[{""$type"":""GameCommon.Data.StatEffect, De.Base"",""statType"":""HpRegen"",""statValue"":""1.000"",""showEffect"":false,""UseStatValue"":false,""StatType"":""None"",""StatPercent"":""0.000"",""EffectType"":""Stat""},{""$type"":""GameCommon.Data.HpDamageTakenAmplifierEffect, De.Base"",""Percent"":""-30.000"",""ShowEffect"":false,""SkillTags"":[],""UseStatValue"":false,""StatType"":""None"",""StatPercent"":""0.000"",""EffectType"":""HpDamageTakenAmplifier""}]",False,False,"[{""$type"":""GameCommon.Data.FloatValueCompareBuffTrigger, De.Base"",""TriggerType"":""HpPercent"",""CompareType"":""LessEqual"",""CompareValue"":""18.000""}]",False,False
104,근거리(가영) 뎀감 버프,1,-1,"None","[{""$type"":""GameCommon.Data.HpDamageTakenAmplifierEffect, De.Base"",""Percent"":""-8.000"",""ShowEffect"":false,""SkillTags"":[],""UseStatValue"":false,""StatType"":""None"",""StatPercent"":""0.000"",""EffectType"":""HpDamageTakenAmplifier""}]",False,False,"[{""$type"":""GameCommon.Data.FloatValueCompareBuffTrigger, De.Base"",""TriggerType"":""HpPercent"",""CompareType"":""LessEqual"",""CompareValue"":""18.000""}]",False,False
1011,검사 데미지 줄때 증가,4,-1,"None","[]",False,False,,False,False
1012,검사1타Start,1,0.85,"None","[]",False,False,,False,False
1013,검사2타Start,1,0.85,"None","[]",False,False,,False,False
1014,검사 궁극기 중 버프(상태이상 이뮨),1,5,"None","[{""$type"":""GameCommon.Data.ImmunityEffect, De.Base"",""ImmunityEffectTags"":-100353,""DispelOnApply"":false,""UseStatValue"":false,""StatType"":""None"",""StatPercent"":""0.000"",""EffectType"":""Immunity"",""IsFullImmunity"":false}]",True,False,,False,False
1015,대시 중 무적,1,0.35,"None","[{""$type"":""GameCommon.Data.InvincibilityEffect, De.Base"",""BlockDamage"":true,""IgnoreBackAttack"":true,""IgnoreCriticalHit"":true,""BlockStressDamage"":true,""BlockEnemyHit"":true,""UseStatValue"":false,""StatType"":""None"",""StatPercent"":""0.000"",""EffectType"":""Invincibility""}]",True,False,,False,False
1016,제압부 슬로우,3,2,"Slow","[{""$type"":""GameCommon.Data.SlowEffect, De.Base"",""SlowType"":""MoveSlow"",""value"":""-12.000"",""UseStatValue"":false,""StatType"":""None"",""StatPercent"":""0.000"",""EffectType"":""Slow""}]",True,False,,False,False
1017,검사 평타 출혈,3,8,"Bleed","[{""$type"":""GameCommon.Data.DotHpDamageEffect, De.Base"",""TickAmount"":1,""UseStatValue"":true,""StatType"":""Atk"",""StatPercent"":""6.500"",""EffectType"":""DotHpDamage""}]",True,False,,False,False
1018,제압부 약화,1,2.5,"Weaken","[{""$type"":""GameCommon.Data.StatEffect, De.Base"",""statType"":""AtkPercent"",""statValue"":""-20.000"",""showEffect"":false,""UseStatValue"":false,""StatType"":""None"",""StatPercent"":""0.000"",""EffectType"":""Stat""}]",True,False,,False,False
1019,제압부 stress 회복,1,1,"None","[{""$type"":""GameCommon.Data.DotStressRecoveryEffect, De.Base"",""TickAmount"":1,""UseStatValue"":false,""StatType"":""None"",""StatPercent"":""0.000"",""EffectType"":""DotStressRecovery""}]",False,False,,False,False
1020,검사 퇴마의 길 패시브,1,-1,"None","[{""$type"":""GameCommon.Data.AttackConditionalStatsEffect, De.Base"",""ConditionalStats"":[{""Probability"":""100.000"",""ElementalCondition"":""None"",""FactionCondition"":""Eldritch"",""CcCondition"":""None"",""EffectTag"":""None"",""MonsterCondition"":""None"",""StatType"":""AdditionalAttackDamagePercent"",""StatValue"":""5.000""},{""Probability"":""100.000"",""ElementalCondition"":""None"",""FactionCondition"":""Phantasm"",""CcCondition"":""None"",""EffectTag"":""None"",""MonsterCondition"":""None"",""StatType"":""AdditionalAttackDamagePercent"",""StatValue"":""5.000""}],""UseStatValue"":false,""StatType"":""None"",""StatPercent"":""0.000"",""EffectType"":""AttackConditionalStats""}]",False,False,"[]",False,False
1021,검사 사슬돌진 약화,1,4,"Weaken","[{""$type"":""GameCommon.Data.StatEffect, De.Base"",""statType"":""AtkPercent"",""statValue"":""-15.000"",""showEffect"":false,""UseStatValue"":false,""StatType"":""None"",""StatPercent"":""0.000"",""EffectType"":""Stat""}]",True,False,,False,False
1022,제압부 구속(안씀),1,1.5,"Root","[{""$type"":""GameCommon.Data.RootEffect, De.Base"",""UseStatValue"":false,""StatType"":""None"",""StatPercent"":""0.000"",""EffectType"":""Root""}]",False,False,,False,False
1023,검사 잔상 출력용,1,-1,"None","[{""$type"":""GameCommon.Data.TrailBuffEffect, De.Base"",""TrailCount"":10,""TrailPeriod"":""0.050"",""StartColorData"":{""r"":""0.767"",""g"":""0.701"",""b"":""0.972"",""a"":""1.000""},""EndColorData"":{""r"":""0.877"",""g"":""0.875"",""b"":""0.981"",""a"":""1.000""},""UseStatValue"":false,""StatType"":""None"",""StatPercent"":""0.000"",""EffectType"":""Trail""}]",False,False,,False,False
1024,검사 평타 중 슽로우,1,1,"None","[{""$type"":""GameCommon.Data.StatEffect, De.Base"",""statType"":""MoveSpeedPercent"",""statValue"":""-15.000"",""showEffect"":false,""UseStatValue"":false,""StatType"":""None"",""StatPercent"":""0.000"",""EffectType"":""Stat""}]",False,False,,False,False
1100,캐스터 칼날 출혈/슬로우,4,4,"Bleed","[{""$type"":""GameCommon.Data.SlowEffect, De.Base"",""SlowType"":""MoveSlow"",""value"":""-5.000"",""UseStatValue"":false,""StatType"":""None"",""StatPercent"":""0.000"",""EffectType"":""Slow""},{""$type"":""GameCommon.Data.DotHpDamageEffect, De.Base"",""TickAmount"":1,""UseStatValue"":true,""StatType"":""Atk"",""StatPercent"":""5.000"",""EffectType"":""DotHpDamage""}]",True,False,,False,False
1101,캐스터 폭탄인형 슬로우,1,3,"Slow","[{""$type"":""GameCommon.Data.SlowEffect, De.Base"",""SlowType"":""MoveSlow"",""value"":""-40.000"",""UseStatValue"":false,""StatType"":""None"",""StatPercent"":""0.000"",""EffectType"":""Slow""}]",True,False,,False,False
1102,캐스터 매직미사일 사용 중 슬로우,1,1,"None","[{""$type"":""GameCommon.Data.StatEffect, De.Base"",""statType"":""MoveSpeedPercent"",""statValue"":""-25.000"",""showEffect"":false,""UseStatValue"":false,""StatType"":""None"",""StatPercent"":""0.000"",""EffectType"":""Stat""}]",False,False,,False,False
1103,캐스터 사이오닉 폭발 무적,1,1.8,"None","[{""$type"":""GameCommon.Data.InvincibilityEffect, De.Base"",""BlockDamage"":true,""IgnoreBackAttack"":true,""IgnoreCriticalHit"":true,""BlockStressDamage"":true,""BlockEnemyHit"":true,""UseStatValue"":false,""StatType"":""None"",""StatPercent"":""0.000"",""EffectType"":""Invincibility""}]",True,False,,False,False
1104,캐스터 궁극기 중 버프,1,4,"None","[{""$type"":""GameCommon.Data.StatEffect, De.Base"",""statType"":""DefPercent"",""statValue"":""30.000"",""showEffect"":false,""UseStatValue"":false,""StatType"":""None"",""StatPercent"":""0.000"",""EffectType"":""Stat""},{""$type"":""GameCommon.Data.StatEffect, De.Base"",""statType"":""MoveSpeedPercent"",""statValue"":""20.000"",""showEffect"":false,""UseStatValue"":false,""StatType"":""None"",""StatPercent"":""0.000"",""EffectType"":""Stat""}]",True,False,,False,False
1105,캐스터 각성 텔포 공격 슬로우,1,1.5,"Slow","[{""$type"":""GameCommon.Data.SlowEffect, De.Base"",""SlowType"":""MoveSlow"",""value"":""-25.000"",""UseStatValue"":false,""StatType"":""None"",""StatPercent"":""0.000"",""EffectType"":""Slow""}]",True,False,,False,False
1106,캐스터 각성상태 영혼소모,1,-1,"None","[{""$type"":""GameCommon.Data.DotSoulDamageEffect, De.Base"",""TickAmount"":40,""UseStatValue"":false,""StatType"":""None"",""StatPercent"":""0.000"",""EffectType"":""DotSoulDamage""},{""$type"":""GameCommon.Data.TrailBuffEffect, De.Base"",""TrailCount"":5,""TrailPeriod"":""0.100"",""StartColorData"":{""r"":""0.956"",""g"":""0.616"",""b"":""0.851"",""a"":""1.000""},""EndColorData"":{""r"":""1.000"",""g"":""1.000"",""b"":""1.000"",""a"":""1.000""},""UseStatValue"":false,""StatType"":""None"",""StatPercent"":""0.000"",""EffectType"":""Trail""},{""$type"":""GameCommon.Data.StatEffect, De.Base"",""statType"":""MoveSpeed"",""statValue"":""0.250"",""showEffect"":false,""UseStatValue"":false,""StatType"":""None"",""StatPercent"":""0.000"",""EffectType"":""Stat""}]",True,False,,False,False
1107,캐스터 칼날 슈퍼 출혈/슬로우,6,4,"Bleed","[{""$type"":""GameCommon.Data.DotHpDamageEffect, De.Base"",""TickAmount"":1,""UseStatValue"":true,""StatType"":""Atk"",""StatPercent"":""10.000"",""EffectType"":""DotHpDamage""},{""$type"":""GameCommon.Data.SlowEffect, De.Base"",""SlowType"":""MoveSlow"",""value"":""-5.000"",""UseStatValue"":false,""StatType"":""None"",""StatPercent"":""0.000"",""EffectType"":""Slow""}]",True,False,,False,False
1108,캐스터 폭탄인형 상태이상 무시용,1,-1,"None","[{""$type"":""GameCommon.Data.ImmunityEffect, De.Base"",""ImmunityEffectTags"":""All"",""DispelOnApply"":true,""UseStatValue"":false,""StatType"":""None"",""StatPercent"":""0.000"",""EffectType"":""Immunity"",""IsFullImmunity"":true}]",False,False,,False,False
1109,캐스터 궁극기 중 잔상,1,-1,"None","[{""$type"":""GameCommon.Data.TrailBuffEffect, De.Base"",""TrailCount"":8,""TrailPeriod"":""0.200"",""StartColorData"":{""r"":""0.694"",""g"":""0.674"",""b"":""0.972"",""a"":""1.000""},""EndColorData"":{""r"":""1.000"",""g"":""1.000"",""b"":""1.000"",""a"":""1.000""},""UseStatValue"":false,""StatType"":""None"",""StatPercent"":""0.000"",""EffectType"":""Trail""}]",False,False,,False,False
1110,캐스터 각성 궁극기 사용 중 버프,1,4,"None","[{""$type"":""GameCommon.Data.StatEffect, De.Base"",""statType"":""MoveSpeedPercent"",""statValue"":""25.000"",""showEffect"":false,""UseStatValue"":false,""StatType"":""None"",""StatPercent"":""0.000"",""EffectType"":""Stat""},{""$type"":""GameCommon.Data.StatEffect, De.Base"",""statType"":""DefPercent"",""statValue"":""30.000"",""showEffect"":false,""UseStatValue"":false,""StatType"":""None"",""StatPercent"":""0.000"",""EffectType"":""Stat""}]",True,False,,False,False
1111,캐스터 샤비의 분노 슬로우,1,1,"None","[{""$type"":""GameCommon.Data.StatEffect, De.Base"",""statType"":""MoveSpeedPercent"",""statValue"":""-50.000"",""showEffect"":false,""UseStatValue"":false,""StatType"":""None"",""StatPercent"":""0.000"",""EffectType"":""Stat""}]",False,False,,False,False
1112,캐스터 샤비의 분노 슬로우 슈퍼,1,1,"None","[{""$type"":""GameCommon.Data.StatEffect, De.Base"",""statType"":""MoveSpeedPercent"",""statValue"":""-35.000"",""showEffect"":false,""UseStatValue"":false,""StatType"":""None"",""StatPercent"":""0.000"",""EffectType"":""Stat""}]",False,False,,False,False
1113,대시 중 무적(무적 증가 특성),1,0.65,"None","[{""$type"":""GameCommon.Data.InvincibilityEffect, De.Base"",""BlockDamage"":true,""IgnoreBackAttack"":true,""IgnoreCriticalHit"":true,""BlockStressDamage"":true,""BlockEnemyHit"":true,""UseStatValue"":false,""StatType"":""None"",""StatPercent"":""0.000"",""EffectType"":""Invincibility""}]",True,False,,False,False
1200,듀라한 불멸,1,15,"None","[{""$type"":""GameCommon.Data.DotShieldBuffEffect, De.Base"",""ShieldId"":100001,""Value"":0,""TickAmount"":1,""UseStatValue"":true,""StatType"":""HpMax"",""StatPercent"":""7.500"",""EffectType"":""DotShield""},{""$type"":""GameCommon.Data.BlockSkillChargeEffect, De.Base"",""SkillIds"":[10012700],""UseStatValue"":false,""StatType"":""None"",""StatPercent"":""0.000"",""EffectType"":""BlockSkillCharge""},{""$type"":""GameCommon.Data.ImmunityEffect, De.Base"",""ImmunityEffectTags"":""All"",""DispelOnApply"":false,""UseStatValue"":false,""StatType"":""None"",""StatPercent"":""0.000"",""EffectType"":""Immunity"",""IsFullImmunity"":true}]",True,False,,False,False
1201,듀라한 실드 패시브,1,-1,"None","[{""$type"":""GameCommon.Data.ShieldOnDamageProvideEffect, De.Base"",""ShieldId"":100001,""Percent"":""11.000"",""UseStatValue"":false,""StatType"":""None"",""StatPercent"":""0.000"",""EffectType"":""ShieldOnDamageProvide""},{""$type"":""GameCommon.Data.StressDamageTakenAmplifierEffect, De.Base"",""Percent"":""-15.000"",""ShowEffect"":false,""SkillTags"":[],""UseStatValue"":false,""StatType"":""None"",""StatPercent"":""0.000"",""EffectType"":""StressDamageTakenAmplifier""}]",False,False,,False,False
1202,듀라한 방패방어,1,-1,"None","[{""$type"":""GameCommon.Data.FrontGuardEffect, De.Base"",""DamageReductionPercent"":""77.500"",""AngleDeg"":""120.000"",""VfxForwardPos"":""0.500"",""Vfx"":""100003/100003_skill_1_hit_Shield"",""VfxDuration"":""1.000"",""Sfx"":""Skill_100003_Shield_Guard"",""UseStatValue"":false,""StatType"":""None"",""StatPercent"":""0.000"",""EffectType"":""FrontGuard""},{""$type"":""GameCommon.Data.StatEffect, De.Base"",""statType"":""MoveSpeedPercent"",""statValue"":""-55.000"",""showEffect"":false,""UseStatValue"":false,""StatType"":""None"",""StatPercent"":""0.000"",""EffectType"":""Stat""},{""$type"":""GameCommon.Data.ImmunityEffect, De.Base"",""ImmunityEffectTags"":""Bleed, Burn, Silence, Poison, Stun, Knockback, Pull"",""DispelOnApply"":false,""UseStatValue"":false,""StatType"":""None"",""StatPercent"":""0.000"",""EffectType"":""Immunity"",""IsFullImmunity"":false},{""$type"":""GameCommon.Data.StressDamageTakenAmplifierEffect, De.Base"",""Percent"":""-65.000"",""ShowEffect"":false,""SkillTags"":[],""UseStatValue"":false,""StatType"":""None"",""StatPercent"":""0.000"",""EffectType"":""StressDamageTakenAmplifier""}]",False,False,,False,False
1203,듀라한 지뢰차기 폭발 타이머,1,1.3,"None","[{""$type"":""GameCommon.Data.SpawnHitBoxOnEndEffect, De.Base"",""HitBoxId"":100120021,""SpawnOnExpire"":true,""SpawnOnDie"":true,""UseStatValue"":false,""StatType"":""None"",""StatPercent"":""0.000"",""EffectType"":""SpawnHitBoxOnEnd""}]",False,False,,False,False
1204,듀라한 드레곤브레스 화상,1,8,"Burn","[{""$type"":""GameCommon.Data.DotRangeHpDamageEffect, De.Base"",""TargetType"":""Ally"",""Range"":""2.500"",""TickAmount"":1,""UseStatValue"":true,""StatType"":""Atk"",""StatPercent"":""12.000"",""EffectType"":""DotRangeHpDamage""}]",False,False,,False,False
1205,듀라한 어둠의 손아귀 속박,1,1.2,"Root","[{""$type"":""GameCommon.Data.RootEffect, De.Base"",""UseStatValue"":false,""StatType"":""None"",""StatPercent"":""0.000"",""EffectType"":""Root""}]",True,False,,False,False
