Id,~GroupKey,~memo,DropRewardId,PickOrder,Grade,Count,Weight
int,DropRewardId,,int,int,EGoodsGradeType,int,int
100001,,챕1 - 도구 상자,111000,0,Elite,1,900
100002,,,111000,0,Epic,1,100
100003,,챕1 - 의료 상자,111100,0,Elite,1,900
100004,,,111100,0,Epic,1,100
100005,,챕1 - 서류 가방,111200,0,Elite,1,900
100006,,,111200,0,Epic,1,100
100007,,챕1 - 금고,111300,0,Elite,1,800
100008,,,111300,0,Epic,1,200
100009,,챕1 - 봉인된 무기함,111400,0,Elite,1,800
100010,,,111400,0,Epic,1,200
100011,,챕1 - 봉인된 장신구함,111500,0,Elite,1,800
100012,,,111500,0,Epic,1,200
100013,,챕1 - 의식용 상자,111600,0,Elite,1,700
100014,,,111600,0,Epic,1,300
100015,,챕1 - 캐비닛,111700,0,Elite,1,900
100016,,,111700,0,Epic,1,100
100017,,챕1 - 전기 장비함,111800,0,Elite,1,900
100018,,,111800,0,Epic,1,100
100019,,챕1 - 수상한 틈,112000,0,Elite,1,700
100020,,,112000,0,Epic,1,300
100021,,챕1 - 저주받은 결계함,112100,0,Elite,1,700
100022,,,112100,0,Epic,1,300
100023,,챕1 - 잡동사니 박스,112200,0,Elite,1,900
100024,,,112200,0,Epic,1,100
100025,,타운 미니언 몬스터 (야생),121000,0,Elite,1,900
100026,,,121000,0,Epic,1,100
100027,,타운 미니언 몬스터 (좀비),121100,0,Elite,1,900
100028,,,121100,0,Epic,1,100
100029,,타운 미니언 몬스터 (교단),121200,0,Elite,1,900
100030,,,121200,0,Epic,1,100
100031,,타운 일반 몬스터 (야생),121300,0,Elite,1,900
100032,,,121300,0,Epic,1,100
100033,,타운 일반 몬스터 (좀비),121400,0,Elite,1,900
100034,,,121400,0,Epic,1,100
100035,,타운 일반 몬스터 (교단),121500,0,Elite,1,900
100036,,,121500,0,Epic,1,100
100037,,타운 엘리트 몬스터 (야생),121600,0,Elite,1,900
100038,,,121600,0,Epic,1,100
100039,,타운 엘리트 몬스터 (좀비),121700,0,Elite,1,900
100040,,,121700,0,Epic,1,100
100041,,타운 엘리트 몬스터 (교단),121800,0,Elite,1,900
100042,,,121800,0,Epic,1,100
100043,,타운 보스 - 다크영,121900,0,Elite,1,500
100044,,,121900,0,Epic,1,500
100045,,타운 보스 - 야마이누 보스,122000,0,Elite,1,600
100046,,,122000,0,Epic,1,400
100047,,타운 보스 - 경찰 빅맨 보스,122100,0,Elite,1,600
100048,,,122100,0,Epic,1,400
100049,,타운 보스 - 소울콜렉터,122200,0,Elite,1,600
100050,,,122200,0,Epic,1,400
100051,,빅맨 엘리트,122300,0,Elite,1,700
100052,,,122300,0,Epic,1,300
100053,,야마이누 엘리트 물안경,122400,0,Elite,1,700
100054,,,122400,0,Epic,1,300
100055,,야마이누 엘리트 점박이,122500,0,Elite,1,700
100056,,,122500,0,Epic,1,300
100057,,좀비 엘리트 도끼 간호사,122600,0,Elite,1,700
100058,,,122600,0,Epic,1,300
100059,,좀비 엘리트 금발 수영복,122700,0,Elite,1,700
100060,,,122700,0,Epic,1,300
100061,,좀비 엘리트 안경,122800,0,Elite,1,700
100062,,,122800,0,Epic,1,300
100063,,좀비 엘리트 요리사,122900,0,Elite,1,700
100064,,,122900,0,Epic,1,300
100065,,경찰 좀비 엘리트 군인,123000,0,Elite,1,700
100066,,,123000,0,Epic,1,300
100067,,경찰 좀비 엘리트 소방관,123100,0,Elite,1,700
100068,,,123100,0,Epic,1,300
100069,,인형탈 엘리트 핑크,123200,0,Elite,1,700
100070,,,123200,0,Epic,1,300
100071,,인형탈 엘리트 레드 고양이,123300,0,Elite,1,700
100072,,,123300,0,Epic,1,300
100073,,평사도 엘리트 크리스마스,123400,0,Elite,1,700
100074,,,123400,0,Epic,1,300
100075,,평사도 엘리트 도끼머리,123500,0,Elite,1,700
100076,,,123500,0,Epic,1,300
100077,,사도 엘리트 블랙,123600,0,Elite,1,700
100078,,,123600,0,Epic,1,300
100079,,사도 엘리트 블루,123700,0,Elite,1,700
100080,,,123700,0,Epic,1,300
100081,,시티1 보스 - 클리너,123800,0,Elite,1,600
100082,,,123800,0,Epic,1,400
100083,,시티1 보스 - 팔척귀신,123900,0,Elite,1,600
100084,,,123900,0,Epic,1,400
100085,,챕터1 용병 그룹,124000,0,Elite,1,900
100086,,,124000,0,Epic,1,100
100087,,챕2 - 도구 상자,211000,0,Elite,1,850
100088,,,211000,0,Epic,1,100
100089,,,211000,0,Legend,1,50
100090,,챕2 - 의료 상자,211100,0,Elite,1,850
100091,,,211100,0,Epic,1,100
100092,,,211100,0,Legend,1,50
100093,,챕2 - 서류 가방,211200,0,Elite,1,850
100094,,,211200,0,Epic,1,100
100095,,,211200,0,Legend,1,50
100096,,챕2 - 금고,211300,0,Elite,1,730
100097,,,211300,0,Epic,1,200
100098,,,211300,0,Legend,1,70
