Id,DropRewardId,PickOrder,~GroupKey,~boxname,~itemname,~grade,Goods,Weight,~WorthRate,~averageWorth
int,int,int,DropRewardId,,,,Goods,int,,
100,100,0,,라운지 - 기본 포션 상자,붕대,None,Item:2000:1,8000,,
101,100,0,,,회복 드링크,Normal,Item:2001:1,1000,,
102,100,0,,,진정제 앰풀,Normal,Item:2002:1,1000,,
110,110,0,,라운지 - 기본 무기 상자 1,수련용 검,Normal,Equipment:1001:1,1000,,
111,111,0,,라운지 - 기본 무기 상자 2,노멀코어 태블릿,Normal,Equipment:1101:1,1000,,
112,112,0,,라운지 - 기본 무기 상자 3,헌터 샷건,Normal,Equipment:1201:1,1000,,
1000,1000,0,,튜토리얼 - 포션 상자,회복 드링크,Normal,Item:2001:1,1000,,
1001,1001,0,,튜토리얼 - 진정제 상자,진정제 앰풀,Normal,Item:2002:1,1000,,
1002,1002,0,,튜토리얼 - 열쇠 상자,국방색 열쇠,None,Item:300000:1,1000,,
1003,1002,1,,튜토리얼 - 유물,녹슨 회중시계,None,Item:300007:1,1000,,
10001,111000,0,,챕1 - 도구 상자,이계의 주화,Rare,Item:10001:1,1500,1,24
10002,111000,0,,,금속 고리,Rare,Item:7003:1,1500,60,
10003,111000,0,,,잡동사니 더미,Normal,Item:7000:1,750,8,
10004,111000,0,,,다 쓴 배터리,Normal,Item:3002:1,750,3,
10005,111000,0,,,빈 용기,Normal,Item:3004:1,750,3,
10006,111000,0,,,빈 파우치,Normal,Item:3000:1,750,3,
10007,111000,1,,,스테이플러 세트,Normal,Item:8026:1,500,21,
10008,111000,1,,,보급형 전자계산기,Normal,Item:8029:1,500,22,
10009,111000,1,,,화약 가루,Normal,Item:3010:1,500,6,
10010,111000,1,,,손목 시계,Normal,Item:8027:1,500,22,
10011,111000,1,,,보급형 이어폰,Normal,Item:8025:1,500,20,
10012,111000,1,,,빈 병,Normal,Item:3003:1,500,1,
10013,111000,1,,,보조 충전 케이블,Normal,Item:8031:1,500,21,
10014,111000,1,,,트랩 제작 도구,Rare,Item:3007:1,429,19,
10015,111000,1,,,회로 모듈,Rare,Item:7018:1,429,19,
10016,111000,1,,,부품 더미,Rare,Item:7101:1,429,19,
10017,111000,1,,,강화 금속괴,Rare,Item:7311:1,429,20,
10018,111000,1,,,가솔린 통,Rare,Item:3006:1,428,19,
10019,111000,1,,,실끈 조각,Rare,Item:7006:1,428,17,
10020,111000,1,,,금속 띠편,Rare,Item:7012:1,428,18,
10021,111000,1,,,문양된 금속판,Rare,Item:7015:1,428,19,
10022,111000,1,,,은제 침편,Rare,Item:7009:1,428,19,
10023,111000,1,,,휴대용 배터리,Epic,Item:8017:1,334,76,
10024,111000,1,,,검신 주형,Epic,Item:7312:1,333,89,
10025,111000,1,,,장식 구슬,Epic,Item:7010:1,333,81,
10026,111000,1,,,상품 카탈로그 시즌3,Epic,Item:8009:1,333,84,
10027,111001,0,,챕1 - 박스 퀘스트 보상,고대의 부품,None,Item:301003:1,1000,1,
10028,111002,0,,챕1 - 박스 퀘스트 보상,메모리칩,None,Item:301011:1,1000,1,
10029,111100,0,,챕1 - 의료 상자,이계의 주화,Rare,Item:10001:1,3000,3,4
10030,111100,0,,,붕대,None,Item:2000:1,1000,0,
10031,111100,0,,,회복 드링크,Normal,Item:2001:1,750,2,
10032,111100,0,,,진정제 앰풀,Normal,Item:2002:1,750,2,
10033,111100,0,,,빈 앰풀,Normal,Item:3001:1,750,2,
10034,111100,0,,,빈 병,Normal,Item:3003:1,750,2,
10035,111100,1,,,약초,Normal,Item:3008:1,600,6,
10036,111100,1,,,진정초,Normal,Item:3009:1,600,6,
10037,111100,1,,,빈 용기,Normal,Item:3004:1,600,2,
10038,111100,1,,,회복 드링크,Normal,Item:2001:1,600,1,
10039,111100,1,,,진정제 앰풀,Normal,Item:2002:1,600,1,
10040,111100,1,,,대형 회복 드링크,Rare,Item:2013:1,429,4,
10041,111100,1,,,해독제,Rare,Item:2006:1,429,4,
10042,111100,1,,,화상 연고,Rare,Item:2008:1,429,4,
10043,111100,1,,,지혈 벌레,Rare,Item:2007:1,429,5,
10044,111100,1,,,대형 진정제 앰플,Rare,Item:2015:1,428,4,
10045,111100,1,,,독 주머니,Rare,Item:3011:1,428,20,
10046,111101,0,,챕1 - 박스 퀘스트 보상,고대의 부품,None,Item:301003:1,1000,1,
10047,111102,0,,챕1 - 박스 퀘스트 보상,메모리칩,None,Item:301011:1,1000,1,
10048,111200,0,,챕1 - 서류 가방,이계의 주화,Rare,Item:10001:1,1500,1,42
10049,111200,0,,,메탈 볼펜,Rare,Item:8034:1,1500,142,
10050,111200,0,,,메모패드,Normal,Item:8028:1,750,31,
10051,111200,0,,,스테이플러 세트,Normal,Item:8026:1,750,32,
10052,111200,0,,,플라스틱 머리빗,Normal,Item:8030:1,750,30,
10053,111200,0,,,손목 시계,Normal,Item:8027:1,750,33,
10054,111200,1,,,노멀코어 태블릿,Normal,Equipment:1101:1,600,0,
10055,111200,1,,,메모패드,Normal,Item:8028:1,600,25,
10056,111200,1,,,스테이플러 세트,Normal,Item:8026:1,600,25,
10057,111200,1,,,플라스틱 머리빗,Normal,Item:8030:1,600,24,
10058,111200,1,,,손목 시계,Normal,Item:8027:1,600,27,
10059,111200,1,,,상품 카탈로그 시즌1,Rare,Item:8007:1,300,12,
10060,111200,1,,,유리 물병 세트,Rare,Item:8035:1,300,27,
10061,111200,1,,,안티키테라 보고서 vol.1,Rare,Item:8011:1,300,13,
10062,111200,1,,,금고 열쇠,Rare,Item:9012:1,300,9,
10063,111200,1,,,가죽 키링,Rare,Item:8036:1,300,28,
10064,111200,1,,,의식용 상자 열쇠,Rare,Item:9015:1,300,18,
10065,111200,1,,,세인트 워치,Rare,Equipment:26011:1,300,22,
10066,111200,1,,,에테르 패드 제작 도면,Rare,Item:201103:1,300,7,
10067,111200,1,,,세인트 워치 (Rare) 제작 도면,Rare,Item:226011:1,300,7,
10068,111200,1,,,귀신들린 사무실 열쇠,Elite,Item:9016:1,417,83,
10069,111200,1,,,기묘한 가전매장 열쇠,Elite,Item:9017:1,417,83,
10070,111200,1,,,축축한 물류창고 열쇠,Elite,Item:9018:1,417,83,
10071,111200,1,,,금장 카드지갑,Elite,Item:8042:1,417,81,
10072,111200,1,,,은장 만년필,Elite,Item:8039:1,416,77,
10073,111200,1,,,시간왜곡의 팔찌 (Elite) 제작 도면,Elite,Item:223011:1,416,40,
10074,111200,1,,,휴대용 배터리,Epic,Item:8017:1,500,115,
10075,111200,1,,,광고 전단지,Epic,Item:8020:1,500,111,
10076,111200,1,,,상품 카탈로그 시즌3,Epic,Item:8009:1,500,126,
10077,111201,0,,챕1 - 박스 퀘스트 보상,고대의 부품,None,Item:301003:1,1000,1,
10078,111202,0,,챕1 - 박스 퀘스트 보상,메모리칩,None,Item:301011:1,1000,1,
10079,111300,0,,챕1 - 금고,금장 카드지갑,Elite,Item:8042:1,500,97,64
10080,111300,0,,,세공 라이터,Elite,Item:8043:1,500,94,
10081,111300,0,,,고급 손목시계,Elite,Item:8040:1,500,102,
10082,111300,0,,,은장 만년필,Elite,Item:8039:1,500,93,
10083,111300,0,,,크리스털 유리컵,Elite,Item:8041:1,500,88,
10084,111300,1,,,의식용 상자 열쇠,Rare,Item:9015:1,1000,60,
10085,111300,1,,,문양된 금속판,Rare,Item:7015:1,1000,44,
10086,111300,1,,,은제 침편,Rare,Item:7009:1,1500,67,
10087,111300,1,,,열단도 제작 도면,Elite,Item:201008:1,500,46,
10088,111300,1,,,인페르노 터치 제작 도면,Elite,Item:201108:1,500,42,
10089,111300,1,,,인페르노 브레이커 제작 도면,Elite,Item:201208:1,500,46,
10090,111300,1,,,인내의 브로치 (Elite) 제작 도면,Elite,Item:224053:1,500,40,
10091,111300,1,,,수호의 목걸이 (Elite) 제작 도면,Elite,Item:221013:1,500,42,
10092,111300,1,,,적혈의 반지 (Elite) 제작 도면,Elite,Item:220013:1,500,42,
