Id,~,GroupId,Level,BuffId,SkillIds,~GroupKey,~SubKey
int,,int,int,int,int[],GroupId,GroupId|Level
20001,체력증가,20000,1,20001,,,
20002,,20000,2,20002,,,
20003,,20000,3,20003,,,
20004,,20000,4,20004,,,
20005,,20000,5,20005,,,
20011,공격력,20010,1,20011,,,
20012,,20010,2,20012,,,
20013,,20010,3,20013,,,
20014,,20010,4,20014,,,
20015,,20010,5,20015,,,
20021,이동속도,20020,1,20021,,,
20022,,20020,2,20022,,,
20023,,20020,3,20023,,,
20024,,20020,4,20024,,,
20025,,20020,5,20025,,,
20031,방어력,20030,1,20031,,,
20032,,20030,2,20032,,,
20033,,20030,3,20033,,,
20034,,20030,4,20034,,,
20035,,20030,5,20035,,,
20041,HP 리젠,20040,1,20041,,,
20042,,20040,2,20042,,,
20051,방어관통,20050,1,20051,,,
20052,,20050,2,20052,,,
20053,,20050,3,20053,,,
20061,크리확률,20060,1,20061,,,
20062,,20060,2,20062,,,
20063,,20060,3,20063,,,
20064,,20060,4,20064,,,
20065,,20060,5,20065,,,
20071,크리데미지,20070,1,20071,,,
20072,,20070,2,20072,,,
20073,,20070,3,20073,,,
20074,,20070,4,20074,,,
20075,,20070,5,20075,,,
20081,쿨타임감소,20080,1,20081,,,
20082,,20080,2,20082,,,
20083,,20080,3,20083,,,
20091,스트레스 낮을 때 공격력,20090,1,20091,,,
20092,,20090,2,20092,,,
20093,,20090,3,20093,,,
20101,스트레스 높을 때 공격력,20100,1,20101,,,
20102,,20100,2,20102,,,
20103,,20100,3,20103,,,
20111,아이템 회복 효과 증폭,20110,1,20111,,,
20112,,20110,2,20112,,,
20113,,20110,3,20113,,,
20121,몬스터 타입 추가 피해(야수),20120,1,20121,,,
20122,,20120,2,20122,,,
20123,,20120,3,20123,,,
20131,몬스터 타입 추가 피해(불경),20130,1,20131,,,
20132,,20130,2,20132,,,
20133,,20130,3,20133,,,
20141,몬스터 타입 추가 피해(괴이),20140,1,20141,,,
20142,,20140,2,20142,,,
20143,,20140,3,20143,,,
20151,몬스터 타입 추가 피해(인간),20150,1,20151,,,
20152,,20150,2,20152,,,
20153,,20150,3,20153,,,
20161,몬스터 타입 추가 피해(식물),20160,1,20161,,,
20162,,20160,2,20162,,,
20163,,20160,3,20163,,,
20171,몬스터 타입 추가 피해(기계),20170,1,20171,,,
20172,,20170,2,20172,,,
20173,,20170,3,20173,,,
20181,몬스터 타입 추가 피해(환상),20180,1,20181,,,
20182,,20180,2,20182,,,
20183,,20180,3,20183,,,
20191,불 내성 증가,20190,1,20191,,,
20192,,20190,2,20192,,,
20193,,20190,3,20193,,,
20201,물 내성 증가,20200,1,20201,,,
20202,,20200,2,20202,,,
20203,,20200,3,20203,,,
20211,바람 내성 증가,20210,1,20211,,,
20212,,20210,2,20212,,,
20213,,20210,3,20213,,,
20221,화상 지속시간 감소,20220,1,20221,,,
20222,,20220,2,20222,,,
20223,,20220,3,20223,,,
20231,출혈 지속시간 감소,20230,1,20231,,,
20232,,20230,2,20232,,,
20233,,20230,3,20233,,,
20241,독 지속시간 감소,20240,1,20241,,,
20242,,20240,2,20242,,,
20243,,20240,3,20243,,,
20251,피격 스트레스 대미지 감소,20250,1,20251,,,
20252,,20250,2,20252,,,
20253,,20250,3,20253,,,
20254,,20250,4,20254,,,
20255,,20250,5,20255,,,
30001,힐,30000,1,-1,30010000,,
30002,,30000,2,-1,30010001,,
30011,공격력,30010,1,-1,30010005,,
30012,,30010,2,-1,30010006,,
30021,이동속도,30020,1,-1,30010010,,
30022,,30020,2,-1,30010011,,
30031,공격속도,30030,1,-1,30010015,,
30041,실드,30040,1,-1,30010020,,
30042,실드,30040,2,-1,30010021,,
